YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2011,Mississippi,Percent of adults aged 18 years and older who have obesity,27.9,65 or older,"(32.745510099, -89.538030825)"
2013,Louisiana,Percent of adults aged 18 years and older who have obesity,40.4,35 - 44,"(31.312660644, -92.445680071)"
2012,Missouri,Percent of adults aged 18 years and older who have obesity,24.5,25 - 34,"(38.635790776, -92.566300053)"
2019,Kentucky,Percent of adults aged 18 years and older who have obesity,37.8,25 - 34,"(37.645970271000465, -84.77497104799966)"
2019,New York,Percent of adults aged 18 years and older who have obesity,24.5,65 or older,"(42.82700103200045, -75.54397042699964)"
2014,Iowa,Percent of adults aged 18 years and older who have obesity,37.9,55 - 64,"(42.469400913, -93.816490556)"
2019,North Dakota,Percent of adults aged 18 years and older who have obesity,32.9,25 - 34,"(47.47531977900047, -100.11842104899966)"
2019,Wisconsin,Percent of adults aged 18 years and older who have obesity,33.3,65 or older,"(44.39319117400049, -89.81637074199966)"
2015,Tennessee,Percent of adults aged 18 years and older who have obesity,37.6,55 - 64,"(35.68094058, -85.774490914)"
2019,Alaska,Percent of adults aged 18 years and older who have obesity,42.3,45 - 54,"(64.84507995700051, -147.72205903599973)"
2019,South Carolina,Percent of adults aged 18 years and older who have obesity,39.3,45 - 54,"(33.998821303000454, -81.04537120699968)"
2013,Rhode Island,Percent of adults aged 18 years and older who have obesity,30.3,35 - 44,"(41.708280193, -71.522470314)"
2019,Nevada,Percent of adults aged 18 years and older who have obesity,33.5,55 - 64,"(39.493240390000494, -117.07184056399967)"
2011,Connecticut,Percent of adults aged 18 years and older who have obesity,28.6,55 - 64,"(41.56266102, -72.649840952)"
2019,Wisconsin,Percent of adults aged 18 years and older who have obesity,39.0,55 - 64,"(44.39319117400049, -89.81637074199966)"
2013,California,Percent of adults aged 18 years and older who have obesity,26.7,35 - 44,"(37.638640123, -120.999999538)"
2019,Indiana,Percent of adults aged 18 years and older who have obesity,35.2,25 - 34,"(39.766910452000445, -86.14996019399968)"
2019,Florida,Percent of adults aged 18 years and older who have obesity,31.3,55 - 64,"(28.932040377000476, -81.92896053899966)"
2013,Vermont,Percent of adults aged 18 years and older who have obesity,26.7,55 - 64,"(43.625381239, -72.517640791)"
2019,Arkansas,Percent of adults aged 18 years and older who have obesity,43.7,45 - 54,"(34.74865012400045, -92.27449074299966)"
2011,Hawaii,Percent of adults aged 18 years and older who have obesity,16.9,65 or older,"(21.304850435, -157.857749403)"
2019,Oregon,Percent of adults aged 18 years and older who have obesity,35.5,45 - 54,"(44.56744942400047, -120.15503132599969)"
2019,Ohio,Percent of adults aged 18 years and older who have obesity,34.7,35 - 44,"(40.06021014100048, -82.40426005599966)"
2014,California,Percent of adults aged 18 years and older who have obesity,29.8,55 - 64,"(37.638640123, -120.999999538)"
2019,Maryland,Percent of adults aged 18 years and older who have obesity,20.8,18 - 24,"(39.29058096400047, -76.60926011099963)"
2019,Alabama,Percent of adults aged 18 years and older who have obesity,36.4,25 - 34,"(32.84057112200048, -86.63186076199969)"
2019,South Dakota,Percent of adults aged 18 years and older who have obesity,32.7,25 - 34,"(44.353130053000484, -100.3735306369997)"
2015,Maryland,Percent of adults aged 18 years and older who have obesity,30.7,35 - 44,"(39.290580964, -76.609260111)"
2011,Wyoming,Percent of adults aged 18 years and older who have obesity,29.3,45 - 54,"(43.235541343, -108.109830353)"
2019,Maryland,Percent of adults aged 18 years and older who have obesity,38.4,45 - 54,"(39.29058096400047, -76.60926011099963)"
2011,Kansas,Percent of adults aged 18 years and older who have obesity,28.8,25 - 34,"(38.3477403, -98.200781227)"
2019,Delaware,Percent of adults aged 18 years and older who have obesity,31.6,25 - 34,"(39.008830667000495, -75.57774116799965)"
2013,Florida,Percent of adults aged 18 years and older who have obesity,32.2,45 - 54,"(28.932040377, -81.928960539)"
2015,New Hampshire,Percent of adults aged 18 years and older who have obesity,27.8,65 or older,"(43.655950113, -71.50036092)"
2019,Indiana,Percent of adults aged 18 years and older who have obesity,39.4,45 - 54,"(39.766910452000445, -86.14996019399968)"
2019,Wyoming,Percent of adults aged 18 years and older who have obesity,20.6,18 - 24,"(43.23554134300048, -108.10983035299967)"
2019,West Virginia,Percent of adults aged 18 years and older who have obesity,24.9,18 - 24,"(38.66551020200046, -80.71264013499967)"
2019,New Hampshire,Percent of adults aged 18 years and older who have obesity,33.5,55 - 64,"(43.65595011300047, -71.50036091999965)"
2015,Maine,Percent of adults aged 18 years and older who have obesity,27.2,25 - 34,"(45.254228894001, -68.985031336)"
2014,Connecticut,Percent of adults aged 18 years and older who have obesity,25.0,25 - 34,"(41.56266102, -72.649840952)"
2019,Texas,Percent of adults aged 18 years and older who have obesity,40.8,45 - 54,"(31.827240407000488, -99.42677020599967)"
2014,New Mexico,Percent of adults aged 18 years and older who have obesity,20.8,65 or older,"(34.520880952, -106.240580985)"
2012,Hawaii,Percent of adults aged 18 years and older who have obesity,27.7,45 - 54,"(21.304850435, -157.857749403)"
2013,Michigan,Percent of adults aged 18 years and older who have obesity,37.6,55 - 64,"(44.661319543001, -84.71439027)"
2011,Arizona,Percent of adults aged 18 years and older who have obesity,25.4,35 - 44,"(34.86597028, -111.763811277)"
2019,California,Percent of adults aged 18 years and older who have obesity,33.7,45 - 54,"(37.63864012300047, -120.99999953799971)"
2015,Nebraska,Percent of adults aged 18 years and older who have obesity,33.6,35 - 44,"(41.641040988001, -99.365720623)"
2013,New York,Percent of adults aged 18 years and older who have obesity,25.9,65 or older,"(42.827001032, -75.543970427)"
2015,Nevada,Percent of adults aged 18 years and older who have obesity,29.4,55 - 64,"(39.49324039, -117.071840564)"
2019,Connecticut,Percent of adults aged 18 years and older who have obesity,28.2,65 or older,"(41.56266102000046, -72.64984095199964)"
2019,Wisconsin,Percent of adults aged 18 years and older who have obesity,20.5,18 - 24,"(44.39319117400049, -89.81637074199966)"
2019,Minnesota,Percent of adults aged 18 years and older who have obesity,34.7,45 - 54,"(46.35564873600049, -94.79420050299967)"
2019,Georgia,Percent of adults aged 18 years and older who have obesity,15.9,18 - 24,"(32.83968109300048, -83.62758034599966)"
2013,Hawaii,Percent of adults aged 18 years and older who have obesity,24.2,35 - 44,"(21.304850435, -157.857749403)"
2019,District of Columbia,Percent of adults aged 18 years and older who have obesity,28.8,45 - 54,"(38.89037138500049, -77.03196112699965)"
2013,Wisconsin,Percent of adults aged 18 years and older who have obesity,33.6,45 - 54,"(44.393191174, -89.816370742)"
2012,Alaska,Percent of adults aged 18 years and older who have obesity,9.0,18 - 24,"(64.845079957001, -147.722059036)"
2019,Maine,Percent of adults aged 18 years and older who have obesity,18.3,18 - 24,"(45.254228894000505, -68.98503133599962)"
2014,Washington,Percent of adults aged 18 years and older who have obesity,19.0,18 - 24,"(47.522278629, -120.47001079)"
2012,Utah,Percent of adults aged 18 years and older who have obesity,12.2,18 - 24,"(39.360700171, -111.587130635)"
2019,Oklahoma,Percent of adults aged 18 years and older who have obesity,39.9,35 - 44,"(35.47203135600046, -97.52107021399968)"
2019,Tennessee,Percent of adults aged 18 years and older who have obesity,39.8,35 - 44,"(35.68094058000048, -85.77449091399967)"
2019,Nebraska,Percent of adults aged 18 years and older who have obesity,38.5,45 - 54,"(41.6410409880005, -99.36572062299967)"
2019,West Virginia,Percent of adults aged 18 years and older who have obesity,43.7,55 - 64,"(38.66551020200046, -80.71264013499967)"
2019,Rhode Island,Percent of adults aged 18 years and older who have obesity,20.7,18 - 24,"(41.70828019300046, -71.52247031399963)"
2019,Wyoming,Percent of adults aged 18 years and older who have obesity,28.7,65 or older,"(43.23554134300048, -108.10983035299967)"
2019,New Mexico,Percent of adults aged 18 years and older who have obesity,24.9,65 or older,"(34.52088095200048, -106.24058098499967)"
2015,New Hampshire,Percent of adults aged 18 years and older who have obesity,31.7,35 - 44,"(43.655950113, -71.50036092)"
2015,South Carolina,Percent of adults aged 18 years and older who have obesity,35.0,55 - 64,"(33.998821303, -81.045371207)"
2019,New Hampshire,Percent of adults aged 18 years and older who have obesity,23.5,18 - 24,"(43.65595011300047, -71.50036091999965)"
2015,Minnesota,Percent of adults aged 18 years and older who have obesity,30.2,55 - 64,"(46.355648736, -94.794200503)"
2019,North Dakota,Percent of adults aged 18 years and older who have obesity,46.5,35 - 44,"(47.47531977900047, -100.11842104899966)"
2019,Kansas,Percent of adults aged 18 years and older who have obesity,39.8,35 - 44,"(38.34774030000045, -98.20078122699965)"
2019,Hawaii,Percent of adults aged 18 years and older who have obesity,18.8,65 or older,"(21.304850435000446, -157.85774940299973)"
2019,Alaska,Percent of adults aged 18 years and older who have obesity,15.4,18 - 24,"(64.84507995700051, -147.72205903599973)"
2019,Iowa,Percent of adults aged 18 years and older who have obesity,38.9,35 - 44,"(42.46940091300047, -93.81649055599968)"
2013,Missouri,Percent of adults aged 18 years and older who have obesity,20.0,18 - 24,"(38.635790776, -92.566300053)"
2011,North Dakota,Percent of adults aged 18 years and older who have obesity,28.3,25 - 34,"(47.475319779, -100.118421049)"
2019,Massachusetts,Percent of adults aged 18 years and older who have obesity,20.5,25 - 34,"(42.27687047000046, -72.08269067499964)"
2019,Arizona,Percent of adults aged 18 years and older who have obesity,29.8,25 - 34,"(34.865970280000454, -111.76381127699972)"
2013,Utah,Percent of adults aged 18 years and older who have obesity,25.4,65 or older,"(39.360700171, -111.587130635)"
2011,Illinois,Percent of adults aged 18 years and older who have obesity,33.1,55 - 64,"(40.485010283, -88.997710178)"
2019,Virginia,Percent of adults aged 18 years and older who have obesity,29.4,25 - 34,"(37.54268067400045, -78.45789046299967)"
2019,Guam,Percent of adults aged 18 years and older who have obesity,31.1,55 - 64,"(13.444304, 144.793731)"
2014,Oklahoma,Percent of adults aged 18 years and older who have obesity,40.0,55 - 64,"(35.472031356, -97.521070214)"
2019,Oregon,Percent of adults aged 18 years and older who have obesity,30.9,35 - 44,"(44.56744942400047, -120.15503132599969)"
2019,Vermont,Percent of adults aged 18 years and older who have obesity,23.4,25 - 34,"(43.62538123900049, -72.51764079099962)"
2011,Virginia,Percent of adults aged 18 years and older who have obesity,37.1,45 - 54,"(37.542680674, -78.457890463)"
2015,Oklahoma,Percent of adults aged 18 years and older who have obesity,28.1,65 or older,"(35.472031356, -97.521070214)"
2019,Colorado,Percent of adults aged 18 years and older who have obesity,24.2,65 or older,"(38.843840757000464, -106.13361092099967)"
2019,Georgia,Percent of adults aged 18 years and older who have obesity,41.0,55 - 64,"(32.83968109300048, -83.62758034599966)"
2015,Illinois,Percent of adults aged 18 years and older who have obesity,35.2,45 - 54,"(40.485010283, -88.997710178)"
2019,North Carolina,Percent of adults aged 18 years and older who have obesity,37.7,55 - 64,"(35.466220975000454, -79.15925046299964)"
2019,Maine,Percent of adults aged 18 years and older who have obesity,36.3,55 - 64,"(45.254228894000505, -68.98503133599962)"
2014,Montana,Percent of adults aged 18 years and older who have obesity,26.7,65 or older,"(47.066528972, -109.424420645)"
2019,Mississippi,Percent of adults aged 18 years and older who have obesity,37.2,25 - 34,"(32.745510099000455, -89.53803082499968)"
2014,Minnesota,Percent of adults aged 18 years and older who have obesity,29.8,35 - 44,"(46.355648736, -94.794200503)"
2015,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.3,35 - 44,"(44.393191174, -89.816370742)"
2019,Massachusetts,Percent of adults aged 18 years and older who have obesity,26.7,65 or older,"(42.27687047000046, -72.08269067499964)"
2019,Delaware,Percent of adults aged 18 years and older who have obesity,40.5,45 - 54,"(39.008830667000495, -75.57774116799965)"
2012,Alaska,Percent of adults aged 18 years and older who have obesity,32.3,55 - 64,"(64.845079957001, -147.722059036)"
2019,New York,Percent of adults aged 18 years and older who have obesity,32.0,55 - 64,"(42.82700103200045, -75.54397042699964)"
2019,California,Percent of adults aged 18 years and older who have obesity,13.2,18 - 24,"(37.63864012300047, -120.99999953799971)"
2015,California,Percent of adults aged 18 years and older who have obesity,22.8,65 or older,"(37.638640123, -120.999999538)"
2011,Virginia,Percent of adults aged 18 years and older who have obesity,22.9,25 - 34,"(37.542680674, -78.457890463)"
2019,Montana,Percent of adults aged 18 years and older who have obesity,23.9,25 - 34,"(47.06652897200047, -109.42442064499971)"
2019,Kentucky,Percent of adults aged 18 years and older who have obesity,37.1,35 - 44,"(37.645970271000465, -84.77497104799966)"
2012,Washington,Percent of adults aged 18 years and older who have obesity,14.3,18 - 24,"(47.522278629, -120.47001079)"
2011,Missouri,Percent of adults aged 18 years and older who have obesity,37.4,55 - 64,"(38.635790776, -92.566300053)"
2012,Montana,Percent of adults aged 18 years and older who have obesity,26.9,35 - 44,"(47.066528972, -109.424420645)"
2019,Illinois,Percent of adults aged 18 years and older who have obesity,37.5,55 - 64,"(40.48501028300046, -88.99771017799969)"
2012,Kansas,Percent of adults aged 18 years and older who have obesity,33.1,55 - 64,"(38.3477403, -98.200781227)"
2011,Washington,Percent of adults aged 18 years and older who have obesity,25.6,65 or older,"(47.522278629, -120.47001079)"
2019,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.4,55 - 64,"(41.70828019300046, -71.52247031399963)"
2019,Utah,Percent of adults aged 18 years and older who have obesity,27.4,25 - 34,"(39.360700171000474, -111.58713063499971)"
2015,Illinois,Percent of adults aged 18 years and older who have obesity,17.1,18 - 24,"(40.485010283, -88.997710178)"
2019,Arizona,Percent of adults aged 18 years and older who have obesity,25.7,65 or older,"(34.865970280000454, -111.76381127699972)"
2012,Nebraska,Percent of adults aged 18 years and older who have obesity,26.8,65 or older,"(41.641040988001, -99.365720623)"
2011,Hawaii,Percent of adults aged 18 years and older who have obesity,22.8,55 - 64,"(21.304850435, -157.857749403)"
2012,New Jersey,Percent of adults aged 18 years and older who have obesity,26.5,45 - 54,"(40.130570048, -74.273691288)"
2012,Washington,Percent of adults aged 18 years and older who have obesity,31.0,45 - 54,"(47.522278629, -120.47001079)"
2019,Mississippi,Percent of adults aged 18 years and older who have obesity,36.4,65 or older,"(32.745510099000455, -89.53803082499968)"
2019,Virginia,Percent of adults aged 18 years and older who have obesity,36.8,55 - 64,"(37.54268067400045, -78.45789046299967)"
2019,Virginia,Percent of adults aged 18 years and older who have obesity,34.1,35 - 44,"(37.54268067400045, -78.45789046299967)"
2019,South Dakota,Percent of adults aged 18 years and older who have obesity,29.8,65 or older,"(44.353130053000484, -100.3735306369997)"
2013,West Virginia,Percent of adults aged 18 years and older who have obesity,35.7,25 - 34,"(38.665510202, -80.712640135)"
2012,Maine,Percent of adults aged 18 years and older who have obesity,32.1,55 - 64,"(45.254228894001, -68.985031336)"
2014,Utah,Percent of adults aged 18 years and older who have obesity,30.0,45 - 54,"(39.360700171, -111.587130635)"
2019,Washington,Percent of adults aged 18 years and older who have obesity,33.7,45 - 54,"(47.52227862900048, -120.47001078999972)"
2011,Washington,Percent of adults aged 18 years and older who have obesity,29.3,45 - 54,"(47.522278629, -120.47001079)"
2019,Minnesota,Percent of adults aged 18 years and older who have obesity,19.5,18 - 24,"(46.35564873600049, -94.79420050299967)"
2019,Mississippi,Percent of adults aged 18 years and older who have obesity,27.8,18 - 24,"(32.745510099000455, -89.53803082499968)"
2019,Colorado,Percent of adults aged 18 years and older who have obesity,12.0,18 - 24,"(38.843840757000464, -106.13361092099967)"
2013,Kentucky,Percent of adults aged 18 years and older who have obesity,29.2,25 - 34,"(37.645970271, -84.774971048)"
2019,Utah,Percent of adults aged 18 years and older who have obesity,30.1,65 or older,"(39.360700171000474, -111.58713063499971)"
2013,Georgia,Percent of adults aged 18 years and older who have obesity,27.3,25 - 34,"(32.839681093, -83.627580346)"
2013,New Mexico,Percent of adults aged 18 years and older who have obesity,29.0,55 - 64,"(34.520880952, -106.240580985)"
2019,Texas,Percent of adults aged 18 years and older who have obesity,19.9,18 - 24,"(31.827240407000488, -99.42677020599967)"
2019,Michigan,Percent of adults aged 18 years and older who have obesity,20.0,18 - 24,"(44.6613195430005, -84.71439026999968)"
2019,Delaware,Percent of adults aged 18 years and older who have obesity,40.1,55 - 64,"(39.008830667000495, -75.57774116799965)"
2019,Idaho,Percent of adults aged 18 years and older who have obesity,29.1,25 - 34,"(43.682630005000476, -114.3637300419997)"
2019,Pennsylvania,Percent of adults aged 18 years and older who have obesity,37.4,35 - 44,"(40.79373015200048, -77.86070029399963)"
2019,New Hampshire,Percent of adults aged 18 years and older who have obesity,34.6,45 - 54,"(43.65595011300047, -71.50036091999965)"
2013,Louisiana,Percent of adults aged 18 years and older who have obesity,32.2,65 or older,"(31.312660644, -92.445680071)"
2011,Nebraska,Percent of adults aged 18 years and older who have obesity,27.3,25 - 34,"(41.641040988001, -99.365720623)"
2012,West Virginia,Percent of adults aged 18 years and older who have obesity,37.4,45 - 54,"(38.665510202, -80.712640135)"
2019,Oklahoma,Percent of adults aged 18 years and older who have obesity,43.1,55 - 64,"(35.47203135600046, -97.52107021399968)"
2019,Tennessee,Percent of adults aged 18 years and older who have obesity,21.2,18 - 24,"(35.68094058000048, -85.77449091399967)"
2014,Washington,Percent of adults aged 18 years and older who have obesity,27.8,35 - 44,"(47.522278629, -120.47001079)"
2019,New Mexico,Percent of adults aged 18 years and older who have obesity,38.1,25 - 34,"(34.52088095200048, -106.24058098499967)"
2019,Ohio,Percent of adults aged 18 years and older who have obesity,39.7,45 - 54,"(40.06021014100048, -82.40426005599966)"
2012,Idaho,Percent of adults aged 18 years and older who have obesity,31.3,35 - 44,"(43.682630005, -114.363730042)"
2019,Alabama,Percent of adults aged 18 years and older who have obesity,40.3,35 - 44,"(32.84057112200048, -86.63186076199969)"
2012,Maryland,Percent of adults aged 18 years and older who have obesity,23.9,25 - 34,"(39.290580964, -76.609260111)"
2019,Alaska,Percent of adults aged 18 years and older who have obesity,30.8,55 - 64,"(64.84507995700051, -147.72205903599973)"
2019,Maryland,Percent of adults aged 18 years and older who have obesity,36.5,55 - 64,"(39.29058096400047, -76.60926011099963)"
2019,Wyoming,Percent of adults aged 18 years and older who have obesity,25.6,25 - 34,"(43.23554134300048, -108.10983035299967)"
2011,Delaware,Percent of adults aged 18 years and older who have obesity,36.1,55 - 64,"(39.008830667, -75.577741168)"
2019,Wisconsin,Percent of adults aged 18 years and older who have obesity,39.3,45 - 54,"(44.39319117400049, -89.81637074199966)"
2019,Minnesota,Percent of adults aged 18 years and older who have obesity,35.6,55 - 64,"(46.35564873600049, -94.79420050299967)"
2012,Kansas,Percent of adults aged 18 years and older who have obesity,33.0,35 - 44,"(38.3477403, -98.200781227)"
2014,Alabama,Percent of adults aged 18 years and older who have obesity,28.9,65 or older,"(32.840571122, -86.631860762)"
2019,South Carolina,Percent of adults aged 18 years and older who have obesity,27.0,18 - 24,"(33.998821303000454, -81.04537120699968)"
2019,Arizona,Percent of adults aged 18 years and older who have obesity,38.5,55 - 64,"(34.865970280000454, -111.76381127699972)"
2012,Colorado,Percent of adults aged 18 years and older who have obesity,25.5,45 - 54,"(38.843840757, -106.133610921)"
2013,Utah,Percent of adults aged 18 years and older who have obesity,30.7,45 - 54,"(39.360700171, -111.587130635)"
2014,Oregon,Percent of adults aged 18 years and older who have obesity,27.1,65 or older,"(44.567449424, -120.155031326)"
2013,Kentucky,Percent of adults aged 18 years and older who have obesity,38.6,45 - 54,"(37.645970271, -84.774971048)"
2019,New York,Percent of adults aged 18 years and older who have obesity,23.0,25 - 34,"(42.82700103200045, -75.54397042699964)"
2019,Guam,Percent of adults aged 18 years and older who have obesity,38.4,25 - 34,"(13.444304, 144.793731)"
2014,Oklahoma,Percent of adults aged 18 years and older who have obesity,28.9,65 or older,"(35.472031356, -97.521070214)"
2019,Missouri,Percent of adults aged 18 years and older who have obesity,31.9,65 or older,"(38.635790776000476, -92.56630005299968)"
2019,Montana,Percent of adults aged 18 years and older who have obesity,33.2,55 - 64,"(47.06652897200047, -109.42442064499971)"
2014,Michigan,Percent of adults aged 18 years and older who have obesity,36.0,55 - 64,"(44.661319543001, -84.71439027)"
2019,Nevada,Percent of adults aged 18 years and older who have obesity,29.8,25 - 34,"(39.493240390000494, -117.07184056399967)"
2019,West Virginia,Percent of adults aged 18 years and older who have obesity,38.5,25 - 34,"(38.66551020200046, -80.71264013499967)"
2019,Indiana,Percent of adults aged 18 years and older who have obesity,37.4,35 - 44,"(39.766910452000445, -86.14996019399968)"
2019,Texas,Percent of adults aged 18 years and older who have obesity,36.6,55 - 64,"(31.827240407000488, -99.42677020599967)"
2019,Florida,Percent of adults aged 18 years and older who have obesity,27.6,65 or older,"(28.932040377000476, -81.92896053899966)"
2012,Minnesota,Percent of adults aged 18 years and older who have obesity,21.8,25 - 34,"(46.355648736, -94.794200503)"
2019,North Carolina,Percent of adults aged 18 years and older who have obesity,42.2,45 - 54,"(35.466220975000454, -79.15925046299964)"
2019,Illinois,Percent of adults aged 18 years and older who have obesity,35.3,45 - 54,"(40.48501028300046, -88.99771017799969)"
2012,North Dakota,Percent of adults aged 18 years and older who have obesity,25.5,25 - 34,"(47.475319779, -100.118421049)"
2019,Michigan,Percent of adults aged 18 years and older who have obesity,34.4,65 or older,"(44.6613195430005, -84.71439026999968)"
2019,Vermont,Percent of adults aged 18 years and older who have obesity,25.2,65 or older,"(43.62538123900049, -72.51764079099962)"
2013,Florida,Percent of adults aged 18 years and older who have obesity,32.0,35 - 44,"(28.932040377, -81.928960539)"
2019,Maine,Percent of adults aged 18 years and older who have obesity,28.9,25 - 34,"(45.254228894000505, -68.98503133599962)"
2011,North Dakota,Percent of adults aged 18 years and older who have obesity,10.7,18 - 24,"(47.475319779, -100.118421049)"
2019,Massachusetts,Percent of adults aged 18 years and older who have obesity,15.2,18 - 24,"(42.27687047000046, -72.08269067499964)"
2019,Nebraska,Percent of adults aged 18 years and older who have obesity,39.3,35 - 44,"(41.6410409880005, -99.36572062299967)"
2014,District of Columbia,Percent of adults aged 18 years and older who have obesity,32.8,45 - 54,"(38.890371385, -77.031961127)"
2015,District of Columbia,Percent of adults aged 18 years and older who have obesity,29.7,65 or older,"(38.890371385, -77.031961127)"
2014,Oregon,Percent of adults aged 18 years and older who have obesity,13.4,18 - 24,"(44.567449424, -120.155031326)"
2019,Kansas,Percent of adults aged 18 years and older who have obesity,34.3,25 - 34,"(38.34774030000045, -98.20078122699965)"
2019,Arizona,Percent of adults aged 18 years and older who have obesity,20.1,18 - 24,"(34.865970280000454, -111.76381127699972)"
2019,Washington,Percent of adults aged 18 years and older who have obesity,31.4,35 - 44,"(47.52227862900048, -120.47001078999972)"
2019,Puerto Rico,Percent of adults aged 18 years and older who have obesity,38.8,45 - 54,"(18.220833, -66.590149)"
2019,Hawaii,Percent of adults aged 18 years and older who have obesity,25.1,55 - 64,"(21.304850435000446, -157.85774940299973)"
2013,West Virginia,Percent of adults aged 18 years and older who have obesity,29.1,65 or older,"(38.665510202, -80.712640135)"
2013,Arizona,Percent of adults aged 18 years and older who have obesity,29.6,25 - 34,"(34.86597028, -111.763811277)"
2019,South Dakota,Percent of adults aged 18 years and older who have obesity,17.3,18 - 24,"(44.353130053000484, -100.3735306369997)"
2012,Oregon,Percent of adults aged 18 years and older who have obesity,32.9,55 - 64,"(44.567449424, -120.155031326)"
2012,Wyoming,Percent of adults aged 18 years and older who have obesity,20.5,65 or older,"(43.235541343, -108.109830353)"
2019,California,Percent of adults aged 18 years and older who have obesity,29.8,55 - 64,"(37.63864012300047, -120.99999953799971)"
2019,Guam,Percent of adults aged 18 years and older who have obesity,23.4,65 or older,"(13.444304, 144.793731)"
2019,South Carolina,Percent of adults aged 18 years and older who have obesity,38.6,55 - 64,"(33.998821303000454, -81.04537120699968)"
2019,Tennessee,Percent of adults aged 18 years and older who have obesity,32.7,65 or older,"(35.68094058000048, -85.77449091399967)"
2013,Kentucky,Percent of adults aged 18 years and older who have obesity,29.7,65 or older,"(37.645970271, -84.774971048)"
2019,Nevada,Percent of adults aged 18 years and older who have obesity,28.6,65 or older,"(39.493240390000494, -117.07184056399967)"
2019,West Virginia,Percent of adults aged 18 years and older who have obesity,36.4,65 or older,"(38.66551020200046, -80.71264013499967)"
2014,Hawaii,Percent of adults aged 18 years and older who have obesity,23.9,55 - 64,"(21.304850435, -157.857749403)"
2019,Wyoming,Percent of adults aged 18 years and older who have obesity,32.5,55 - 64,"(43.23554134300048, -108.10983035299967)"
2019,Georgia,Percent of adults aged 18 years and older who have obesity,37.8,45 - 54,"(32.83968109300048, -83.62758034599966)"
2015,New Jersey,Percent of adults aged 18 years and older who have obesity,10.7,18 - 24,"(40.130570048, -74.273691288)"
2011,Indiana,Percent of adults aged 18 years and older who have obesity,19.6,18 - 24,"(39.766910452, -86.149960194)"
2013,Virginia,Percent of adults aged 18 years and older who have obesity,33.3,55 - 64,"(37.542680674, -78.457890463)"
2019,Louisiana,Percent of adults aged 18 years and older who have obesity,40.9,35 - 44,"(31.31266064400046, -92.44568007099969)"
2019,Massachusetts,Percent of adults aged 18 years and older who have obesity,28.7,55 - 64,"(42.27687047000046, -72.08269067499964)"
2019,Oklahoma,Percent of adults aged 18 years and older who have obesity,35.1,25 - 34,"(35.47203135600046, -97.52107021399968)"
2019,New Mexico,Percent of adults aged 18 years and older who have obesity,33.5,55 - 64,"(34.52088095200048, -106.24058098499967)"
2015,Alabama,Percent of adults aged 18 years and older who have obesity,30.2,65 or older,"(32.840571122, -86.631860762)"
2014,Tennessee,Percent of adults aged 18 years and older who have obesity,23.9,65 or older,"(35.68094058, -85.774490914)"
2011,Connecticut,Percent of adults aged 18 years and older who have obesity,27.0,45 - 54,"(41.56266102, -72.649840952)"
2019,South Dakota,Percent of adults aged 18 years and older who have obesity,43.9,55 - 64,"(44.353130053000484, -100.3735306369997)"
2019,Colorado,Percent of adults aged 18 years and older who have obesity,27.8,55 - 64,"(38.843840757000464, -106.13361092099967)"
2012,Maryland,Percent of adults aged 18 years and older who have obesity,26.2,65 or older,"(39.290580964, -76.609260111)"
2012,New Hampshire,Percent of adults aged 18 years and older who have obesity,30.0,35 - 44,"(43.655950113, -71.50036092)"
2019,District of Columbia,Percent of adults aged 18 years and older who have obesity,21.1,35 - 44,"(38.89037138500049, -77.03196112699965)"
2019,Mississippi,Percent of adults aged 18 years and older who have obesity,45.9,55 - 64,"(32.745510099000455, -89.53803082499968)"
2019,Hawaii,Percent of adults aged 18 years and older who have obesity,18.9,18 - 24,"(21.304850435000446, -157.85774940299973)"
2015,Nebraska,Percent of adults aged 18 years and older who have obesity,32.0,65 or older,"(41.641040988001, -99.365720623)"
2019,Montana,Percent of adults aged 18 years and older who have obesity,29.4,35 - 44,"(47.06652897200047, -109.42442064499971)"
2019,Iowa,Percent of adults aged 18 years and older who have obesity,41.4,45 - 54,"(42.46940091300047, -93.81649055599968)"
2019,Delaware,Percent of adults aged 18 years and older who have obesity,35.8,35 - 44,"(39.008830667000495, -75.57774116799965)"
2019,Idaho,Percent of adults aged 18 years and older who have obesity,29.1,65 or older,"(43.682630005000476, -114.3637300419997)"
2019,Arkansas,Percent of adults aged 18 years and older who have obesity,32.4,65 or older,"(34.74865012400045, -92.27449074299966)"
2019,Oregon,Percent of adults aged 18 years and older who have obesity,26.2,25 - 34,"(44.56744942400047, -120.15503132599969)"
2019,Rhode Island,Percent of adults aged 18 years and older who have obesity,32.2,25 - 34,"(41.70828019300046, -71.52247031399963)"
2011,Oklahoma,Percent of adults aged 18 years and older who have obesity,32.7,45 - 54,"(35.472031356, -97.521070214)"
2019,Connecticut,Percent of adults aged 18 years and older who have obesity,32.5,55 - 64,"(41.56266102000046, -72.64984095199964)"
2019,North Dakota,Percent of adults aged 18 years and older who have obesity,33.4,65 or older,"(47.47531977900047, -100.11842104899966)"
2015,Oklahoma,Percent of adults aged 18 years and older who have obesity,37.6,55 - 64,"(35.472031356, -97.521070214)"
2019,Missouri,Percent of adults aged 18 years and older who have obesity,22.9,18 - 24,"(38.635790776000476, -92.56630005299968)"
